"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"DR1TALCO",-2.07787717098557e-07,-2.60722216344381e-08,1.58486601352249e-07,0,0,5.84048372744441e-07,1.58802036961569e-07,0,0,0,-1.59847375204549e-07,7.32560194168496e-11,4.66750840993588e-09,4.94577964747827e-07,3.50683328289629e-07,3.72382410031127e-07,1.42305707302755e-07,2.76881336361689e-07,-5.09079142219809e-07,0,-0.00293235739126232,-2.7766542173255e-07,-7.93726029169243e-08,0,0,0,0,0,5.06344522558539e-07,-1.05370707921151e-06,0,0,0,0,5.14061860864127e-07,0,0,-1.63729294172243e-07,0,0,-4.21200650757418e-08,-2.00606898451068e-08,-3.4706743090598e-07,-3.9062820345134e-08,2.16040105162123e-07,-2.51948387695612e-07,0,0,0,0,1.14266699816741e-07
"DR1TMOIS",0,-3.64311093654411e-07,6.41566678292335e-07,0,6.70277791979996e-07,1.73061530184651e-07,-5.07727177825342e-08,-2.52490936507874e-07,-2.24036664526638e-07,-4.50654077595118e-07,4.45482068925519e-07,-1.40002088856226e-13,-2.29991748189614e-07,5.70254313495677e-08,1.79066343401469e-07,-6.63809009470323e-09,0,6.41874188517726e-08,4.15608084810288e-07,-2.55445663192246e-07,0,-9.23059233137597e-08,9.61730513472266e-08,0,0,-2.11328989733282e-07,0,-1.86799970214747e-07,0,3.63612234844407e-07,0,3.44009455624289e-08,0,0,1.00092528125357e-08,1.89997181838611e-07,-2.92930556713795e-07,-1.22904077499115e-08,0,9.14411351446546e-08,0,0,4.20479787493635e-07,0,1.9483749251678e-07,0,0,0,-4.98992536443459e-09,-1.43251643410472e-07,0
"DR1TS040",0,0,5.32166707333134e-07,0,0,1.11732345001644e-06,0,0,2.79331019414372e-07,0,1.1840612801188e-07,3.84037503780124e-07,-1.26851905466293e-07,2.70427355032277e-07,0,7.90469493481826e-08,-5.60864170668056e-08,0,0,0,0,5.46273212489524e-08,2.41986073706198e-08,0,4.64068387225935e-09,-2.05171873663932e-08,-5.39680518787528e-07,0,-2.6148156910964e-08,0,-4.87744445235493e-08,-3.94028581029795e-07,0,0,0,0,0,0,0,3.57805579403083e-07,-7.09941415890204e-08,0,-2.75306436370597e-08,1.00724596496965e-07,-2.03703130332956e-07,-1.68296661194755e-07,1.49411088812074e-07,0,1.38780229237282e-08,-3.41456053094009e-08,0
"DR1TS060",0,0,4.30278544155616e-07,0,0,1.07860884778269e-06,0,0,3.31994708382245e-07,0,4.72835441430151e-08,3.52601016675988e-07,-2.12985241387153e-07,3.17918855436635e-07,0,8.53613901859903e-08,0,0,0,0,0,1.11969666798911e-07,0,0,0,-7.97451293462639e-09,-4.72960140805824e-07,0,-9.24956809779354e-10,5.09670758171932e-08,-1.00671588453518e-08,-2.88423531351475e-07,0,0,0,-4.15600232796483e-08,0,0,0,2.6528251083198e-07,-5.60410477669566e-09,0,-3.16888981750499e-08,6.80967281756154e-08,-1.92998541617411e-07,-2.05176856830994e-07,1.79880767474895e-07,0,0,-4.39802623845302e-08,0
"DR1TS080",0,0,4.28487804693629e-07,3.20444998657206e-10,0,8.99678267147997e-07,0,-2.4881102251366e-07,8.9273291840077e-08,0,1.2922931070921e-07,4.05923957837654e-07,-3.30324517134104e-07,1.37612611197082e-07,0,1.25072048953261e-07,-6.79232677537119e-08,0,0,0,0,6.26723110666426e-08,0,0,9.86749994089666e-08,0,-5.18803390303156e-07,1.66823489266087e-08,0,0,0,-1.35820630042668e-07,0,-2.00920260987986e-08,0,-1.01454137145184e-07,0,4.21923013639546e-08,0,3.31377160132525e-07,0,0,-2.3925273145268e-07,0,-8.32374412543088e-08,-1.70340519099729e-07,1.85584028477143e-07,0,7.93886934458083e-08,0,0
"DR1TS100",0,0,5.09691234307934e-07,0,0,1.0982425646368e-06,0,-9.86667896347058e-08,1.91985870637492e-07,0,4.79286086152591e-08,4.37126880950512e-07,-2.03726833124015e-07,3.7019613687037e-07,4.34880250843166e-08,4.17307237444031e-08,0,0,0,0,0,6.29367839338062e-08,0,0,8.54494879193393e-08,-2.45689069851459e-08,-5.59659609856243e-07,0,0,0,0,-2.37912642508548e-07,0,0,0,0,0,0,0,3.55003892884409e-07,0,0,-1.6797683516675e-07,4.29129531161872e-08,-1.2490006573121e-07,-2.19456404603677e-07,1.59475110223031e-07,0,2.52493231878041e-08,-2.37914031496802e-08,0
"DR1TS120",1.31041965636371e-07,0,1.53458141551713e-07,9.84759264159961e-09,0,5.59673890575431e-07,0,-4.17664364178207e-07,0,0,3.76229909867776e-08,2.898538399821e-07,-3.26615633529195e-07,0,0,3.13967159703704e-08,-2.7967719592099e-08,0,0,0,0,0,0,0,9.69213084267571e-08,0,-3.09568556757508e-07,2.33793958589597e-10,-3.0215606937424e-08,-5.39302419194485e-08,1.21317840549803e-07,-1.1761212959158e-07,-1.5803977303863e-07,-1.63862701674136e-08,2.60549593903183e-08,-2.88031824366644e-08,9.62216143634659e-08,8.47014082969752e-08,4.25391645363603e-08,1.10134311278882e-07,0,0,-3.46574040363645e-07,0,0,0,3.59453348316645e-08,0,1.32297661344178e-07,0,0
"DR1TS140",0,0,4.38143732975375e-07,0,0,7.43187535977568e-07,0,-7.62159601354834e-08,1.32580594776709e-07,0,5.27744419160864e-08,4.19061090566384e-07,-2.72627120854368e-07,0,0,1.25540285641696e-07,-1.3355661753015e-09,0,0,0,0,0,2.47617509571739e-08,0,6.44990321773886e-08,-8.01990931113764e-08,-5.32098230628633e-07,0,-2.17861081120192e-07,0,-3.76003619033197e-08,-3.9653938869579e-07,0,0,4.48782565439821e-08,-7.95621368821549e-10,0,0,0,4.13079213437547e-07,-2.87324707318035e-08,1.61162638894336e-07,-2.69769949526022e-07,0,-2.76580534641604e-08,-1.03527566512073e-07,8.37361177092342e-08,0,0,-1.6639495806991e-07,0
"DR1TS160",0,-1.97816140162628e-07,0,0,3.69701521566008e-07,5.95709497274323e-08,-2.32372248157961e-07,-1.34648623717598e-07,0,0,0,3.46319394047377e-07,0,0,9.29365014744883e-08,8.40141651734409e-08,0,0,-1.57862989958421e-08,0,-0.000474011834878204,0,1.49719796589094e-08,0,0,-4.71313580900644e-08,-3.76190784089803e-07,0,-2.8124507418067e-07,1.80260962557069e-07,-9.3195558001837e-08,-1.50275075049699e-07,7.44102682509546e-08,-7.2028306712774e-08,2.1724049683043e-07,0,7.29316085709154e-09,0,7.14898972835626e-08,2.34523853742308e-07,0,2.98091552202266e-07,-2.84219240178359e-07,0,0,-1.10310294485434e-07,0,-9.35124536207424e-07,0,-8.38690152451651e-08,-7.22641278291302e-08
"DR1TS180",0,-1.7228938622019e-07,0,0,3.74962734357838e-07,1.8228587944735e-07,-1.52404740182705e-07,-9.94601564670327e-08,0,0,0,6.27521835660435e-07,-4.34325278752567e-08,0,0,1.81062900602034e-07,0,6.87305057132259e-08,0,0,-0.00010328350046016,0,1.19304020502062e-07,0,6.71820736539328e-08,-1.66202724320693e-07,-6.3871632832745e-07,0,-4.50110077506847e-07,1.82037163684115e-08,-1.03805796305489e-07,-3.27157494150088e-07,3.99327565511889e-08,-5.59640242159378e-08,1.49851429754083e-07,0,0,0,2.16024797161921e-07,2.52081893036922e-07,9.33887750368564e-08,4.65603435637785e-07,-3.1848688504984e-07,0,0,0,0,-7.9261924492211e-07,0,-1.70280503657902e-07,-1.31937759206565e-07
"DR1TM161",0,-4.95702402023752e-08,0,-1.19055435154466e-09,6.0246085866576e-07,0,-2.99926266696949e-07,-1.11966858185102e-07,0,0,0,2.24605321601664e-07,-7.48824827559224e-08,0,0,1.61553420663259e-07,0,0,0,0,-4.57061388243881e-15,-5.00026034075763e-08,0,0,0,0,-2.30813463866185e-07,0,-4.16577144882326e-08,0,-1.75522644604223e-07,-4.27804761138822e-07,7.72961657204366e-08,0,2.8103640147482e-07,3.75197974431939e-07,-3.71751884583587e-08,0,2.37386275303533e-07,1.32930999006238e-07,0,1.66853566358142e-07,-3.8940838490186e-07,0,1.54037487242666e-08,0,0,-1.00248345059536e-06,-3.4339938065962e-08,-3.10490896157432e-07,0
"DR1TM201",0,-2.43419784435093e-07,0,0,3.85088729317349e-07,0,-2.90970120779337e-07,-2.37536986730643e-07,0,0,0,0,0,0,0,-6.52155044503941e-08,0,0,0,0,-0.002220474415103,-2.06088367215235e-07,0,1.00793967643121e-08,1.42479188106254e-07,0,0,0,0,1.0788734096855e-07,-5.03276013907159e-08,0,9.04793769459355e-08,0,1.03849891441724e-09,9.93120559784716e-08,0,-7.41967612819699e-09,5.15263199528837e-07,6.30044419530443e-08,0,0,0,0,6.11140824549361e-08,-5.422870218866e-09,0,-5.3958123521931e-07,-6.43359882489393e-08,-4.44940616822115e-08,-7.7994309536276e-08
"DR1TM221",0,0,0,0,3.12524835504667e-08,0,-4.71140799155972e-07,-1.00856265417734e-07,0,0,-4.31919372582183e-08,0,-1.349467303435e-08,3.7565849102827e-08,0,0,1.3570629906112e-07,-1.23425273868368e-08,0,0,-0.00195891173509662,-1.75056633383048e-07,-4.3428389917451e-08,2.33881337221422e-07,3.15546755337513e-07,0,0,7.2876150832056e-09,4.81486490295863e-07,0,-1.9279231369008e-07,0,2.15571144048311e-07,0,0,3.9914716795579e-07,0,-1.22467267245947e-07,8.62792543237548e-07,0,9.60590875916706e-08,-3.33531287874095e-07,0,-6.45559370083243e-08,0,0,-5.8662735703775e-09,0,0,0,-5.13504985397292e-08
"DR1TP183",-1.0197295987597e-07,-1.88212349279361e-07,3.29683589902282e-07,0,3.82792809863784e-09,0,-1.23924837708961e-08,-3.40166191647346e-08,0,0,-1.12532733437044e-07,0,6.25582143685981e-08,0,1.02018809798596e-07,0,1.46898377890837e-07,-1.12999834070255e-07,-1.2828674762128e-07,-9.00421492970262e-08,-0.00791304908197835,-4.56174718752402e-08,1.03123195979166e-07,1.68004289820405e-07,4.18970511468599e-08,0,0,0,0,0,-3.15813198115477e-08,-1.97982903430373e-07,0,-1.55011247179486e-07,0,2.61226819718323e-08,0,-3.79151826855201e-08,1.30336695608483e-07,0,3.65706058521936e-08,0,0,1.10964792461048e-07,1.09569582899235e-08,-1.75439789937326e-07,0,0,1.64279015363443e-07,0,-2.99643773751906e-07
"DR1TP184",0,0,-2.10348459785551e-07,0,1.04098718307367e-07,0,0,0,0,0,0,0,0,2.10434342230095e-07,0,0,0,0,0,-1.64191478492703e-08,0,-9.76957976248424e-08,0,0,0,0,0,0,6.19528575659504e-07,5.08013498942001e-08,0,0,0,1.70324071097989e-08,0,5.80415101229039e-08,0,-1.61252752948811e-07,4.84157129069933e-07,0,0,-5.90466418382693e-07,0,0,0,-6.77841310051487e-08,-5.03787887483179e-08,0,-3.57616607252253e-08,0,0
