"ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
4.47213595499958,0,2.18174242292714,0,0,0,0,1
3.3166247903554,0,1.36014705087354,1,0,1,0,0
2.82842712474619,1.4142135623731,1.51657508881031,1,1,0,0,0
2,2,1.8165902124585,1,1,0,0,0
2.64575131106459,1.73205080756888,1.34164078649987,0,0,1,0,0
2.82842712474619,1.4142135623731,2.22710574513201,1,0,0,0,1
1.4142135623731,1.4142135623731,0.92736184954957,0,1,0,0,0
4.47213595499958,1.4142135623731,1.26095202129185,1,0,0,0,1
1.73205080756888,1.73205080756888,1.58429795177549,1,0,1,0,0
3.74165738677394,0,2.15870331449229,1,0,0,1,0
3.74165738677394,2,1.57797338380595,1,1,0,0,0
3.16227766016838,0,1.30384048104053,1,0,0,1,0
3.3166247903554,1,1.27671453348037,0,0,1,0,0
2.82842712474619,1.4142135623731,1.40356688476182,1,0,0,1,0
3.46410161513775,1.4142135623731,2.23606797749979,1,1,0,0,0
3,2,2.23606797749979,1,1,0,0,0
2.64575131106459,2,2.03715487874634,1,1,0,0,0
3.3166247903554,1.73205080756888,1.0770329614269,1,1,0,0,0
3.46410161513775,1,1.30384048104053,1,0,1,0,0
2.44948974278318,2,1.86547581061776,0,0,0,0,1
4.47213595499958,1.4142135623731,1.37113092008021,0,1,0,0,0
3.74165738677394,1.73205080756888,1.9157244060668,0,1,0,0,0
2,2,1.2328828005938,0,1,0,0,0
4.47213595499958,1.73205080756888,1.51986841535707,0,1,0,0,0
1.4142135623731,1.4142135623731,0.447213595499958,0,0,1,0,0
2.82842712474619,1.4142135623731,1.64012194668567,0,0,1,0,0
2,2,2.23606797749979,0,0,0,0,1
4.35889894354067,0,0.953939201416946,0,0,1,0,0
1.73205080756888,1.73205080756888,2.23606797749979,1,1,0,0,0
0,1,1.48323969741913,0,1,0,0,0
1.4142135623731,2,2.08326666559997,1,0,1,0,0
3.46410161513775,1.4142135623731,2.2248595461287,0,1,0,0,0
2.82842712474619,1.73205080756888,1.06301458127346,0,1,0,0,0
2.44948974278318,1.4142135623731,1.0770329614269,0,1,0,0,0
2.82842712474619,2,1.64924225024706,1,0,0,0,1
4.35889894354067,1.4142135623731,1.99248588451713,1,1,0,0,0
0,1.73205080756888,0.974679434480896,1,1,0,0,0
0,2,0.670820393249937,0,0,1,0,0
2.23606797749979,2,2.18174242292714,1,1,0,0,0
2.23606797749979,2,2.23606797749979,1,0,0,0,1
2.23606797749979,1.73205080756888,1.62480768092719,1,0,0,0,1
2.23606797749979,1.73205080756888,0.932737905308881,0,0,0,1,0
1,0,1.03440804327886,1,0,1,0,0
3.16227766016838,0,0.8,0,0,0,1,0
1.4142135623731,1.4142135623731,1.58429795177549,1,0,0,0,1
3.3166247903554,1.73205080756888,1.89208879284245,0,1,0,0,0
3.16227766016838,2,2.11660104885167,1,1,0,0,0
4.47213595499958,1.73205080756888,1.6062378404209,1,1,0,0,0
2.44948974278318,0,1.04880884817015,0,0,0,1,0
2.44948974278318,0,1.30384048104053,0,0,0,0,1
4.47213595499958,1.73205080756888,2.19317121994613,0,0,0,0,1
2.44948974278318,1.4142135623731,0.830662386291807,0,0,0,1,0
3.16227766016838,0,1.10453610171873,1,0,0,0,1
1.4142135623731,2,0,0,0,0,0,1
3.16227766016838,1.73205080756888,1.84390889145858,0,1,0,0,0
1,1.4142135623731,1.34536240470737,0,1,0,0,0
